frame_index,hotspot_rank,is_top_hotspot,station_name,location_id,latitude,longitude,datetime_to_utc,forecast_for_utc,pm25,predicted_pm25_xgboost,pm25_next_hour,forecast_change_pm25,forecast_change_percent,forecast_direction,predicted_pm25_subindex,aqi_category,risk_level,recommendation,alert_message
61,4,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-26 19:30:00+00:00,2026-02-26 20:30:00+00:00,47.5,45.55,50.6,-1.95,-4.1,Stable,76,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 45.6 µg/m³. Conditions are stable."
61,5,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-26 19:30:00+00:00,2026-02-26 20:30:00+00:00,41.7,40.45,43.8,-1.25,-3.0,Stable,67,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Arumbakkam, Chennai - TNPCB is forecast to remain within the satisfactory category at 40.4 µg/m³. Conditions are stable."
61,6,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-26 19:30:00+00:00,2026-02-26 20:30:00+00:00,32.1,30.09,34.1,-2.01,-6.25,Stable,49,Good,Low,Air quality is suitable for normal outdoor activity.,"Manali, Chennai - CPCB is forecast to remain within the good category at 30.1 µg/m³. Conditions are stable."
62,1,True,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-26 20:30:00+00:00,2026-02-26 21:30:00+00:00,45.3,53.64,51.4,8.34,18.42,Rising,89,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 53.6 µg/m³. Conditions are rising."
62,2,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-26 20:30:00+00:00,2026-02-26 21:30:00+00:00,47.4,50.24,48.0,2.84,5.98,Stable,84,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 50.2 µg/m³. Conditions are stable."
62,3,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-26 20:30:00+00:00,2026-02-26 21:30:00+00:00,50.6,49.61,46.9,-0.99,-1.96,Stable,82,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 49.6 µg/m³. Conditions are stable."
62,4,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-26 20:30:00+00:00,2026-02-26 21:30:00+00:00,45.7,48.35,43.3,2.65,5.8,Stable,80,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 48.4 µg/m³. Conditions are stable."
62,5,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-26 20:30:00+00:00,2026-02-26 21:30:00+00:00,43.8,43.46,47.7,-0.34,-0.77,Stable,72,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Arumbakkam, Chennai - TNPCB is forecast to remain within the satisfactory category at 43.5 µg/m³. Conditions are stable."
62,6,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-26 20:30:00+00:00,2026-02-26 21:30:00+00:00,34.1,32.68,40.1,-1.42,-4.17,Stable,54,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali, Chennai - CPCB is forecast to remain within the satisfactory category at 32.7 µg/m³. Conditions are stable."
63,1,True,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-26 21:30:00+00:00,2026-02-26 22:30:00+00:00,43.3,60.41,45.4,17.11,39.5,Rising sharply,99,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 60.4 µg/m³. Conditions are rising sharply."
